# Annual mean atmospheric CO2 concentration [ppm], 1850-2100.
# 1850-2014: historical; 2015-2100: SSP scenarios.
# Source: RCMIP v5.1.0 (Nicholls et al. 2020; Meinshausen et al. 2020). CC BY 4.0.
year,SSP1-2.6,SSP2-4.5,SSP3-7.0,SSP5-8.5
1850,284.32,284.32,284.32,284.32
1851,284.45,284.45,284.45,284.45
1852,284.6,284.6,284.6,284.6
1853,284.73,284.73,284.73,284.73
1854,284.85,284.85,284.85,284.85
1855,284.94,284.94,284.94,284.94
1856,285.05,285.05,285.05,285.05
1857,285.2,285.2,285.2,285.2
1858,285.37,285.37,285.37,285.37
1859,285.54,285.54,285.54,285.54
1860,285.74,285.74,285.74,285.74
1861,285.93,285.93,285.93,285.93
1862,286.1,286.1,286.1,286.1
1863,286.27,286.27,286.27,286.27
1864,286.44,286.44,286.44,286.44
1865,286.61,286.61,286.61,286.61
1866,286.78,286.78,286.78,286.78
1867,286.96,286.96,286.96,286.96
1868,287.11,287.11,287.11,287.11
1869,287.22,287.22,287.22,287.22
1870,287.35,287.35,287.35,287.35
1871,287.49,287.49,287.49,287.49
1872,287.66,287.66,287.66,287.66
1873,287.86,287.86,287.86,287.86
1874,288.06,288.06,288.06,288.06
1875,288.29,288.29,288.29,288.29
1876,288.52,288.52,288.52,288.52
1877,288.75,288.75,288.75,288.75
1878,288.99,288.99,288.99,288.99
1879,289.22,289.22,289.22,289.22
1880,289.47,289.47,289.47,289.47
1881,289.74,289.74,289.74,289.74
1882,290.02,290.02,290.02,290.02
1883,290.26,290.26,290.26,290.26
1884,290.51,290.51,290.51,290.51
1885,290.8,290.8,290.8,290.8
1886,291.1,291.1,291.1,291.1
1887,291.41,291.41,291.41,291.41
1888,291.76,291.76,291.76,291.76
1889,292.11,292.11,292.11,292.11
1890,292.46,292.46,292.46,292.46
1891,292.82,292.82,292.82,292.82
1892,293.17,293.17,293.17,293.17
1893,293.48,293.48,293.48,293.48
1894,293.79,293.79,293.79,293.79
1895,294.08,294.08,294.08,294.08
1896,294.36,294.36,294.36,294.36
1897,294.65,294.65,294.65,294.65
1898,294.95,294.95,294.95,294.95
1899,295.3,295.3,295.3,295.3
1900,295.67,295.67,295.67,295.67
1901,296.01,296.01,296.01,296.01
1902,296.32,296.32,296.32,296.32
1903,296.65,296.65,296.65,296.65
1904,296.95,296.95,296.95,296.95
1905,297.29,297.29,297.29,297.29
1906,297.66,297.66,297.66,297.66
1907,298.1,298.1,298.1,298.1
1908,298.52,298.52,298.52,298.52
1909,298.94,298.94,298.94,298.94
1910,299.38,299.38,299.38,299.38
1911,299.83,299.83,299.83,299.83
1912,300.35,300.35,300.35,300.35
1913,300.91,300.91,300.91,300.91
1914,301.42,301.42,301.42,301.42
1915,301.94,301.94,301.94,301.94
1916,302.48,302.48,302.48,302.48
1917,303.01,303.01,303.01,303.01
1918,303.45,303.45,303.45,303.45
1919,303.81,303.81,303.81,303.81
1920,304.25,304.25,304.25,304.25
1921,304.6,304.6,304.6,304.6
1922,304.94,304.94,304.94,304.94
1923,305.27,305.27,305.27,305.27
1924,305.63,305.63,305.63,305.63
1925,305.81,305.81,305.81,305.81
1926,305.95,305.95,305.95,305.95
1927,306.18,306.18,306.18,306.18
1928,306.33,306.33,306.33,306.33
1929,306.49,306.49,306.49,306.49
1930,306.62,306.62,306.62,306.62
1931,306.82,306.82,306.82,306.82
1932,307.09,307.09,307.09,307.09
1933,307.4,307.4,307.4,307.4
1934,307.78,307.78,307.78,307.78
1935,308.23,308.23,308.23,308.23
1936,309.01,309.01,309.01,309.01
1937,309.76,309.76,309.76,309.76
1938,310.29,310.29,310.29,310.29
1939,310.85,310.85,310.85,310.85
1940,311.36,311.36,311.36,311.36
1941,311.81,311.81,311.81,311.81
1942,312.17,312.17,312.17,312.17
1943,312.39,312.39,312.39,312.39
